neighborhood,facility name,facility subtype
31st Ward,Engine Company No 12,fire station
31st Ward,Police Station No 7,police station
31st Ward,Mifflin Elementary,public school 
31st Ward,Taylor Allderdice High,public school 
31st Ward,McBride Park,recreational facility
31st Ward,Revenue Street Basketball Court,recreational facility
31st Ward,Lincoln Place Tot Lot,recreational facility
Allegheny Center,Fire Station No 43,fire station
Allegheny Center,Fire Station No 46,fire station
Allegheny Center,Police Station No 7,police station
Allegheny Center,Carnegie Library North Side Branch,public library
Allegheny Center,Allegheny Commons,recreational facility
Allegheny Center,Allegheny High School court games,recreational facility
Allegheny Center,Allegheny High School ballfield,recreational facility
Allegheny Center,Martin Luther King Elementary School ballfield,recreational facility
Allegheny Center,Martin Luther King Elementary School court games,recreational facility
Allegheny Center,Martin Luther King Elementary School ballfield,recreational facility
Allegheny Center,Sue Murray outdoor swimming pool,recreational facility
Allegheny Center,Martin Luther King Elementary School,public school 
Allegheny Center,Latimer Middle School,public school 
Allegheny Center,Allegheny High School,public school 
Allegheny Center,Allegheny General Hospital,health facility
Allegheny Center,Divine Providence Hospital,health facility
Allegheny Center,St. Johns Hospital,health facility
Allegheny West,Fire Station No 43,fire station 
Allegheny West,Fire Station No 46,fire station 
Allegheny West,Fire Station No 47,fire station 
Allegheny West,Police Station No 9,police station
Allegheny West,Carnegie Library North Side Branch,public library
Allegheny West,Allegheny Commons West Park Sections,recreational facility
Allegheny West,Community College of Allegheny County indoor facilities,recreational facility
Allegheny West,Community College of Allegheny County Ballfields,recreational facility
Allegheny West,Conroy Elementary School,public school 
Allegheny West,Conroy Junior High School,public school 
Allegheny West,Allegheny High School,public school 
Allegheny West,Allegheny General Hospital,health facility
Allegheny West,Manchester Clinic with Allegheny General Hospital,health facility
Allegheny West,Divine Providence Hospital,health facility
Allegheny West,St. Johns Hospital,health facility
Allentown,Police Station No 7,police station
Allentown,Fire Station No 21,fire station 
Allentown,Grandview Park,recreational facility
Allentown,Warrington Recreation Center,recreational facility
Allentown,Grandview Elementary,public school 
Arlington,Police Station No 7,police station
Arlington,Fire Station No 22,fire station 
Arlington,South Side Park,recreational facility
Arlington,Arlington Playground,recreational facility
Arlington,Cobden St. Basketball Court,recreational facility
Arlington,Arlington Elementary,public school 
Arlington Heights,Police Station No 7,police station
Arlington Heights,Fire Station No 22,fire station 
Arlington Heights,Devlin Playground,recreational facility
Arlington Heights,Monongahela Playground,recreational facility
Arlington Heights,Various Tot Lots,recreational facility
Arlington Heights,Arlington Elementary,public school 
Arlington Heights,South Junior and Senior High,public school 
Banksville,Police District No 8,police station
Banksville,Fire Station No 60,fire station 
Banksville,Banksville Little League Field,recreational facility
Banksville,Banksville School Playground,recreational facility
Banksville,Banksville Elementary School,public school 
Banksville,South Hills High,public school 
Bedford Dwellings,Police Station No 2,police station
Bedford Dwellings,Fire Station No 5,fire station
Bedford Dwellings,McKelvy Elementary School,public school 
Bedford Dwellings,Schenley High School,public school 
Bedford Dwellings,Fifth Avenue High School,public school 
Bedford Dwellings,Amon Recreation Center,recreational facility
Bedford Dwellings,McKelvy Field,recreational facility
Bedford Dwellings,Housing Authority Tot Lots,recreational facility
Bedford Dwellings,Tulsa and White Parklet,recreational facility
Beechview,Police District No 8,police station
Beechview,Fire Station No 60,fire station
Beechview,Beechwood Elementary School,public school 
Beechview,Lee Elementary School,public school 
Beechview,Brashear High School,public school 
Beechview,South Hills High School,public school 
Beechview,Beechview Playground,recreational facility
Beechview,Pauline Avenue Parklet,recreational facility
Beechview,Alton Field,recreational facility
Beechview,Beechwood Parklet,recreational facility
Beechview,Tropical Parklet,recreational facility
Beechview,Southwest Pittsburgh Mental Health,health facility
Beltzhoover,Police Station No 7,police station
Beltzhoover,Fire Station No 21,fire station
Beltzhoover,McKinley Park,recreational facility
Beltzhoover,Warrington Recreational Center,recreational facility
Beltzhoover,Beltzhoover Elementary School,public school 
Beltzhoover,Knoxville Middle School,public school 
Beltzhoover,South Hills High School,public school 
Bloomfield,Police Station No 3,police station
